Voltage,Current
-2.102826042,-1.04E-05
-1.902759375,-6.32E-06
-1.502626042,-2.32E-06
-1.272091977,-1.30E-06
-0.811023846,-4.05E-07
-0.254469719,-7.38E-08
0,0.00E+00
0.858638535,4.58E-07
1.10898152,8.65E-07
1.609667489,3.04E-06
1.738943653,4.20E-06
1.997495983,8.01E-06
2.212646255,1.37E-05
2.214014075,0.0002
2.214014075,0.0002
2.214014076,0.0002
2.214014076,0.0002
2.214014077,0.0002
2.214014079,0.0002
2.214014083,0.0002
2.214014091,0.0002
2.214014106,0.0002
2.214014138,0.0002
2.2140142,0.0002
2.214014325,0.0002
2.214014576,0.0002
2.214015076,0.0002
2.214016077,0.0002
2.21401808,0.0002
2.214022085,0.0002
2.214030094,0.0002
2.214046113,0.0002
2.214078152,0.0002
2.214142229,0.0002
2.214270382,0.0002
2.214526689,0.0002
2.215039303,0.0002
2.216064531,0.0002
2.218114987,0.0002
2.222215898,0.0002
2.230417721,0.0002
2.246821368,0.0002
2.279628661,0.0002
2.345243247,0.0002
2.476472418,0.0002
2.738930761,0.0002
3,0.0002
2.987495833,0.0002
2.9624875,0.0002
2.912470833,0.0002
2.8124375,0.0002
2.612370833,0.0002
2.2122375,0.0002
1.411970833,0.0002
0.59880191,0.0001996
0.381119726,0.00012704
0.374317158,0.000124772
0.360712021,0.000120237
0.333501748,0.000111167
0.279081202,9.30E-05
0.170240109,5.67E-05
-0.047442075,-9.42E-06
-0.482806444,-9.73E-05
-0.53722699,-0.000108631
-0.646068083,-0.000131605
-0.863750267,-0.000178945
-1.047849635,-0.000220513
-1.146367816,-0.000243336
-1.343404177,-1.56E-06
-1.400778516,-1.80E-06
-1.515527194,-2.40E-06
-1.745024551,-4.26E-06
-2.204019263,-1.34E-05
-2.303516856,-1.72E-05
-2.50251204,-2.83E-05
-2.75125602,-5.27E-05
-3,-9.82E-05
-2.99921849,-9.80E-05
-2.997655469,-9.76E-05
-2.994529427,-9.68E-05
-2.988277344,-9.53E-05
-2.975773177,-9.24E-05
-2.950764844,-8.68E-05
-2.900748177,-7.66E-05
-2.800714844,-5.97E-05
-2.600648177,-3.62E-05
-2.200514844,-1.33E-05
-2.10048151,-1.04E-05
-1.900414844,-6.28E-06
-1.50028151,-2.31E-06
-1.269069352,-1.29E-06
-0.806645034,-4.01E-07
-0.246807052,-7.13E-08
0,0.00E+00
0.872868914,4.75E-07
1.100526547,8.47E-07
1.555841813,2.65E-06
1.700680544,3.81E-06
1.990358008,7.87E-06
2.217988097,1.39E-05
2.219382202,0.0002
2.219382202,0.0002
2.219382202,0.0002
2.219382203,0.0002
2.219382204,0.0002
2.219382206,0.0002
2.21938221,0.0002
2.219382219,0.0002
2.219382236,0.0002
2.21938227,0.0002
2.219382339,0.0002
2.219382476,0.0002
2.219382751,0.0002
2.219383301,0.0002
2.219384401,0.0002
2.2193866,0.0002
2.219390998,0.0002
2.219399794,0.0002
2.219417386,0.0002
2.219452571,0.0002
2.21952294,0.0002
2.219663679,0.0002
2.219945156,0.0002
2.22050811,0.0002
2.221634019,0.0002
2.223885837,0.0002
2.228389473,0.0002
2.237396745,0.0002
2.255411288,0.0002
2.291440375,0.0002
2.363498549,0.0002
2.507614897,0.0002
2.795847592,0.0002
3,0.0002
2.987495833,0.0002
2.9624875,0.0002
2.912470833,0.0002
2.8124375,0.0002
2.612370833,0.0002
2.2122375,0.0002
1.411970833,0.0002
0.59880191,0.0001996
0.381119726,0.00012704
0.374317158,0.000124772
0.360712021,0.000120237
0.333501748,0.000111167
0.279081202,9.30E-05
0.170240109,5.67E-05
-0.047442075,-9.42E-06
-0.482806444,-9.73E-05
-0.53722699,-0.000108631
-0.646068083,-0.000131605
-0.863750267,-0.000178945
-1.047860809,-0.000220515
-1.416081894,-1.87E-06
-1.547419036,-2.60E-06
-1.81009332,-5.01E-06
-2.335441888,-1.86E-05
-2.418511652,-2.29E-05
-2.58465118,-3.48E-05
-2.79232559,-5.84E-05
-3,-9.82E-05
-2.99921849,-9.80E-05
-2.997655469,-9.76E-05
-2.994529427,-9.68E-05
-2.988277344,-9.53E-05
-2.975773177,-9.24E-05
-2.950764844,-8.68E-05
-2.900748177,-7.66E-05
-2.800714844,-5.97E-05
-2.600648177,-3.62E-05
-2.200514844,-1.33E-05
-2.10048151,-1.04E-05
-1.900414844,-6.28E-06
-1.50028151,-2.31E-06
-1.269069352,-1.29E-06
-0.806645034,-4.01E-07
-0.246807052,-7.13E-08
0,0.00E+00
0.872868914,4.75E-07
1.100526547,8.47E-07
1.555841813,2.65E-06
1.700680544,3.81E-06
1.990358008,7.87E-06
2.218040237,1.39E-05
2.219434313,0.0002
2.219434313,0.0002
2.219434314,0.0002
2.219434314,0.0002
2.219434315,0.0002
2.219434318,0.0002
2.219434322,0.0002
2.219434332,0.0002
2.21943435,0.0002
2.219434388,0.0002
2.219434463,0.0002
2.219434612,0.0002
2.219434912,0.0002
2.219435511,0.0002
2.219436709,0.0002
2.219439104,0.0002
2.219443896,0.0002
2.219453478,0.0002
2.219472644,0.0002
2.219510975,0.0002
2.219587637,0.0002
2.21974096,0.0002
2.220047608,0.0002
